,year,npu,0
0,1916.0,Q,1
1,1920.0,S,1
2,1970.0,N,1
3,1973.0,V,1
4,1976.0,M,1
5,1979.0,Z,1
6,1980.0,V,1
7,1991.0,L,1
8,1991.0,V,1
9,1993.0,M,1
10,1994.0,F,1
11,1996.0,G,1
12,1996.0,Z,1
13,1998.0,D,1
14,2000.0,B,1
15,2000.0,W,1
16,2000.0,X,1
17,2001.0,B,1
18,2001.0,G,1
19,2001.0,N,1
20,2001.0,V,1
21,2001.0,X,1
22,2001.0,Y,1
23,2002.0,D,1
24,2002.0,M,1
25,2002.0,Z,1
26,2003.0,B,1
27,2003.0,O,1
28,2004.0,E,1
29,2004.0,M,1
30,2004.0,W,1
31,2004.0,Y,1
32,2005.0,F,1
33,2005.0,N,1
34,2005.0,W,1
35,2005.0,Z,1
36,2006.0,B,1
37,2006.0,F,1
38,2006.0,G,1
39,2006.0,H,2
40,2006.0,I,1
41,2006.0,J,1
42,2006.0,M,2
43,2007.0,B,1
44,2007.0,E,1
45,2007.0,F,2
46,2007.0,G,1
47,2007.0,H,2
48,2007.0,J,1
49,2007.0,M,3
50,2007.0,N,1
51,2007.0,P,1
52,2007.0,S,3
53,2007.0,T,2
54,2007.0,V,1
55,2007.0,X,1
56,2008.0,A,5
57,2008.0,B,23
58,2008.0,C,5
59,2008.0,D,8
60,2008.0,E,39
61,2008.0,F,17
62,2008.0,G,11
63,2008.0,H,13
64,2008.0,I,16
65,2008.0,J,16
66,2008.0,K,8
67,2008.0,L,9
68,2008.0,M,45
69,2008.0,N,7
70,2008.0,O,9
71,2008.0,P,7
72,2008.0,R,11
73,2008.0,S,7
74,2008.0,T,16
75,2008.0,V,17
76,2008.0,W,12
77,2008.0,X,17
78,2008.0,Y,15
79,2008.0,Z,15
80,2009.0,A,284
81,2009.0,B,2905
84,2009.0,C,626
85,2009.0,D,1130
87,2009.0,E,3822
88,2009.0,F,1551
89,2009.0,G,849
90,2009.0,H,1066
91,2009.0,I,1701
93,2009.0,J,1428
94,2009.0,K,927
95,2009.0,L,1146
96,2009.0,M,4916
97,2009.0,N,1392
98,2009.0,O,1526
99,2009.0,P,1172
100,2009.0,Q,43
101,2009.0,R,1855
102,2009.0,S,958
103,2009.0,T,1883
104,2009.0,V,1926
105,2009.0,W,1785
106,2009.0,X,1432
107,2009.0,Y,1190
108,2009.0,Z,1817
109,2010.0,A,264
110,2010.0,B,2936
112,2010.0,C,561
113,2010.0,D,959
114,2010.0,E,3218
115,2010.0,F,1172
116,2010.0,G,809
117,2010.0,H,988
118,2010.0,I,1512
119,2010.0,J,1429
120,2010.0,K,839
121,2010.0,L,849
123,2010.0,M,4199
124,2010.0,N,1028
125,2010.0,O,1052
126,2010.0,P,1148
127,2010.0,Q,54
128,2010.0,R,1744
129,2010.0,S,931
130,2010.0,T,1973
131,2010.0,V,1968
132,2010.0,W,1675
133,2010.0,X,1439
134,2010.0,Y,1172
135,2010.0,Z,1600
136,2011.0,A,240
137,2011.0,B,2337
139,2011.0,C,575
142,2011.0,D,963
143,2011.0,E,3002
144,2011.0,F,999
145,2011.0,G,637
147,2011.0,H,1042
148,2011.0,I,1547
149,2011.0,J,1495
150,2011.0,K,831
151,2011.0,L,850
153,2011.0,M,4532
154,2011.0,N,994
155,2011.0,O,1104
156,2011.0,P,1142
157,2011.0,Q,35
158,2011.0,R,1710
159,2011.0,S,922
161,2011.0,T,1934
162,2011.0,V,2109
163,2011.0,W,1456
164,2011.0,X,1564
165,2011.0,Y,1032
166,2011.0,Z,1832
168,2012.0,A,266
169,2012.0,B,2534
170,2012.0,C,581
172,2012.0,D,1025
173,2012.0,E,3003
174,2012.0,F,1094
175,2012.0,G,742
176,2012.0,H,942
177,2012.0,I,1485
178,2012.0,J,1196
179,2012.0,K,869
180,2012.0,L,895
181,2012.0,M,3929
182,2012.0,N,1158
183,2012.0,O,1207
184,2012.0,P,1031
185,2012.0,Q,29
186,2012.0,R,1517
187,2012.0,S,847
188,2012.0,T,1724
189,2012.0,V,1754
190,2012.0,W,1338
191,2012.0,X,1411
192,2012.0,Y,793
193,2012.0,Z,1675
194,2013.0,A,325
195,2013.0,B,2504
196,2013.0,C,508
197,2013.0,D,899
198,2013.0,E,3072
199,2013.0,F,1111
200,2013.0,G,568
201,2013.0,H,762
202,2013.0,I,1326
203,2013.0,J,1001
204,2013.0,K,613
205,2013.0,L,993
207,2013.0,M,3912
208,2013.0,N,1213
209,2013.0,O,1209
210,2013.0,P,1134
211,2013.0,Q,34
212,2013.0,R,1506
213,2013.0,S,848
214,2013.0,T,1676
215,2013.0,V,1743
216,2013.0,W,1468
217,2013.0,X,1288
218,2013.0,Y,914
219,2013.0,Z,1382
220,2014.0,A,244
221,2014.0,B,2389
222,2014.0,C,487
223,2014.0,D,1003
224,2014.0,E,3166
225,2014.0,F,1014
226,2014.0,G,562
227,2014.0,H,753
228,2014.0,I,1374
229,2014.0,J,885
230,2014.0,K,572
231,2014.0,L,946
232,2014.0,M,3997
233,2014.0,N,1098
234,2014.0,O,972
235,2014.0,P,950
236,2014.0,Q,22
237,2014.0,R,1516
238,2014.0,S,778
240,2014.0,T,1617
241,2014.0,V,1683
242,2014.0,W,1274
243,2014.0,X,1289
244,2014.0,Y,904
245,2014.0,Z,1408
246,2015.0,A,222
248,2015.0,B,2471
249,2015.0,C,496
250,2015.0,D,1144
251,2015.0,E,2960
252,2015.0,F,956
253,2015.0,G,566
254,2015.0,H,769
255,2015.0,I,1276
256,2015.0,J,917
257,2015.0,K,570
258,2015.0,L,945
259,2015.0,M,3789
260,2015.0,N,1081
261,2015.0,O,881
262,2015.0,P,1115
263,2015.0,Q,22
264,2015.0,R,1279
265,2015.0,S,743
266,2015.0,T,1600
267,2015.0,V,1508
268,2015.0,W,1141
269,2015.0,X,1241
270,2015.0,Y,775
271,2015.0,Z,1332
272,2016.0,A,45
273,2016.0,B,317
274,2016.0,C,63
275,2016.0,D,161
276,2016.0,E,386
277,2016.0,F,148
278,2016.0,G,39
279,2016.0,H,119
280,2016.0,I,176
281,2016.0,J,123
282,2016.0,K,73
283,2016.0,L,122
284,2016.0,M,437
285,2016.0,N,143
286,2016.0,O,107
287,2016.0,P,132
288,2016.0,Q,2
289,2016.0,R,155
290,2016.0,S,101
291,2016.0,T,208
292,2016.0,V,179
293,2016.0,W,138
294,2016.0,X,169
295,2016.0,Y,93
296,2016.0,Z,155
